"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"1220","CHIKV/Sudan180/2018","Chikungunya virus","MW161436","10984","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10984,0.915333333333333,">90%","Africa","Eastern Africa"
"1221","CHIKV/Sudan182/2018","Chikungunya virus","MW161437","11083","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11083,0.923583333333333,">90%","Africa","Eastern Africa"
"1222","CHIKV/Sudan183/2018","Chikungunya virus","MW161438","10696","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10696,0.891333333333333,"50-90%","Africa","Eastern Africa"
"1223","CHIKV/Sudan189/2018","Chikungunya virus","MW161439","10525","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10525,0.877083333333333,"50-90%","Africa","Eastern Africa"
"1224","CHIKV/Sudan195/2018","Chikungunya virus","MW161440","11220","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11220,0.935,">90%","Africa","Eastern Africa"
"1225","CHIKV/Sudan196/2018","Chikungunya virus","MW161441","11235","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11235,0.93625,">90%","Africa","Eastern Africa"
"1226","CHIKV/Sudan199/2018","Chikungunya virus","MW161442","10922","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10922,0.910166666666667,">90%","Africa","Eastern Africa"
"1227","CHIKV/Sudan309/2018","Chikungunya virus","MW161443","10783","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10783,0.898583333333333,"50-90%","Africa","Eastern Africa"
"1228","CHIKV/Sudan310/2018","Chikungunya virus","MW161444","10624","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10624,0.885333333333333,"50-90%","Africa","Eastern Africa"
"1229","CHIKV/Sudan312/2018","Chikungunya virus","MW161445","10070","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10070,0.839166666666667,"50-90%","Africa","Eastern Africa"
"1230","CHIKV/Sudan315/2018","Chikungunya virus","MW161446","10669","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10669,0.889083333333333,"50-90%","Africa","Eastern Africa"
"1231","CHIKV/Sudan316/2018","Chikungunya virus","MW161447","11026","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11026,0.918833333333333,">90%","Africa","Eastern Africa"
"1232","CHIKV/Sudan318/2018","Chikungunya virus","MW161448","11086","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11086,0.923833333333333,">90%","Africa","Eastern Africa"
"1233","CHIKV/Sudan319/2018","Chikungunya virus","MW161449","11023","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11023,0.918583333333333,">90%","Africa","Eastern Africa"
"1234","CHIKV/Sudan322/2018","Chikungunya virus","MW161450","11008","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11008,0.917333333333333,">90%","Africa","Eastern Africa"
"1235","CHIKV/Sudan324/2018","Chikungunya virus","MW161451","10909","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10909,0.909083333333333,">90%","Africa","Eastern Africa"
"1236","CHIKV/Sudan326/2018","Chikungunya virus","MW161452","10859","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10859,0.904916666666667,">90%","Africa","Eastern Africa"
"1237","CHIKV/Sudan327/2018","Chikungunya virus","MW161453","10924","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10924,0.910333333333333,">90%","Africa","Eastern Africa"
"1238","CHIKV/Sudan328/2018","Chikungunya virus","MW161454","10895","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10895,0.907916666666667,">90%","Africa","Eastern Africa"
"1239","CHIKV/Sudan330/2018","Chikungunya virus","MW161455","10965","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10965,0.91375,">90%","Africa","Eastern Africa"
"1240","CHIKV/Sudan331/2018","Chikungunya virus","MW161456","10937","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10937,0.911416666666667,">90%","Africa","Eastern Africa"
"1241","CHIKV/Sudan332/2018","Chikungunya virus","MW161457","11088","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11088,0.924,">90%","Africa","Eastern Africa"
"1242","CHIKV/Sudan333/2018","Chikungunya virus","MW161458","11065","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",11065,0.922083333333333,">90%","Africa","Eastern Africa"
"1243","CHIKV/Sudan336/2018","Chikungunya virus","MW161459","10670","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10670,0.889166666666667,"50-90%","Africa","Eastern Africa"
"1244","CHIKV/Sudan337/2018","Chikungunya virus","MW161460","10843","-N/A-","10/2018",2018-10-01,"Human","Homo sapiens","Sudan","genomic RNA",10843,0.903583333333333,">90%","Africa","Eastern Africa"
"1245","NK3302","Chikungunya virus","MK848202","11063","-N/A-","11/21/2018",2018-11-21,"Human","Homo sapiens","Thailand","genomic RNA",11063,0.921916666666667,">90%","Asia","Southeastern Asia"
"1246","SK2597_19","Chikungunya virus","MN974211","11811","-N/A-","12/12/2018",2018-12-12,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1247","100","Chikungunya virus","MW507590","11094","-N/A-","43466",2019-01-01,"Human","Homo sapiens","Brazil","genomic RNA",11094,0.9245,">90%","South America","Brazil"
"1248","RC_Diosso_2019","Chikungunya virus","MK690206","11532","-N/A-","01/012019",2019-01-01,"Human","Homo sapiens","Republic of the Congo","genomic RNA",11532,0.961,">90%","Africa","Western Africa"
"1249","Thail 2019","Chikungunya virus","MN630017","11812","-N/A-","01/012019",2019-01-01,"Human","Homo sapiens","Australia","genomic RNA",11812,0.984333333333333,">90%","Australia","Oceania"
"1250","19-6904-1","Chikungunya virus","MN954552","11408","-N/A-","01/012019",2019-01-01,"Mosquito","mosquito","India","genomic RNA",11408,0.950666666666667,">90%","Asia","India+"
"1251","DRC_2019_MNFI024_HU","Chikungunya virus","MT636907","11531","-N/A-","01/07/2019",2019-01-07,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1252","DRC_2019_MNFI040_HU","Chikungunya virus","MT636908","11531","-N/A-","01/07/2019",2019-01-07,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1253","DRC_2019_MNFI114_HU","Chikungunya virus","MT636909","11531","-N/A-","01/21/2019",2019-01-21,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1254","DRC_2019_MNFII180_HU","Chikungunya virus","MT636910","11531","-N/A-","01/21/2019",2019-01-21,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1255","DRC_2019_MNFII188_HU","Chikungunya virus","MT636911","11531","-N/A-","01/21/2019",2019-01-21,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1256","CHIKV-1 00472/2019","Chikungunya virus","MT933029","11197","-N/A-","01/21/2019",2019-01-21,"Human","Homo sapiens","Brazil","genomic RNA",11197,0.933083333333333,">90%","South America","Brazil"
"1257","CHIKV-2 00504/2019","Chikungunya virus","MT933030","11200","-N/A-","01/28/2019",2019-01-28,"Human","Homo sapiens","Brazil","genomic RNA",11200,0.933333333333333,">90%","South America","Brazil"
"1258","DRC_2019_MAS236_HU","Chikungunya virus","MT636912","11531","-N/A-","02/01/2019",2019-02-01,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1259","CHIKV-197-Finland_ex_Thailand-2019","Chikungunya virus","MN075149","11805","-N/A-","02/2019",2019-02-01,"Human","Homo sapiens","Finland","genomic RNA",11805,0.98375,">90%","Europe","Western Europe"
"1260","CHIKV-212-Finland_ex_Thailand-2019","Chikungunya virus","MN075150","11805","-N/A-","02/2019",2019-02-01,"Human","Homo sapiens","Finland","genomic RNA",11805,0.98375,">90%","Europe","Western Europe"
"1261","DRC_2019_MNF029_AAEG","Chikungunya virus","MT636918","11531","-N/A-","02/2019",2019-02-01,"Mosquito","Aedes aegypti","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1262","CHIKV-4 01341/2019","Chikungunya virus","MT933032","11200","-N/A-","02/05/2019",2019-02-05,"Human","Homo sapiens","Brazil","genomic RNA",11200,0.933333333333333,">90%","South America","Brazil"
"1263","DRC_2019_MAS325_HU","Chikungunya virus","MT636913","11531","-N/A-","02/06/2019",2019-02-06,"Human","Homo sapiens","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1264","SK2609_19","Chikungunya virus","MN974208","11811","-N/A-","02/12/2019",2019-02-12,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1265","CHIKV-3 00871/2019","Chikungunya virus","MT933031","10422","-N/A-","02/18/2019",2019-02-18,"Human","Homo sapiens","Brazil","genomic RNA",10422,0.8685,"50-90%","South America","Brazil"
"1266","99","Chikungunya virus","MW507591","10834","-N/A-","03/2019",2019-03-01,"Human","Homo sapiens","Brazil","genomic RNA",10834,0.902833333333333,">90%","South America","Brazil"
"1267","CHIKV/PNRCNG/LNSP_INMI2-2019","Chikungunya virus","MK935344","11787","-N/A-","03/05/2019",2019-03-05,"Human","Homo sapiens","Republic of the Congo","genomic RNA",11787,0.98225,">90%","Africa","Western Africa"
"1268","CHIKV-5 01792/2019","Chikungunya virus","MT933033","11199","-N/A-","03/08/2019",2019-03-08,"Human","Homo sapiens","Brazil","genomic RNA",11199,0.93325,">90%","South America","Brazil"
"1269","SK2614_19","Chikungunya virus","MN974207","11811","-N/A-","03/12/2019",2019-03-12,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1270","CHIKV-6 01888/2019","Chikungunya virus","MT933034","11200","-N/A-","03/15/2019",2019-03-15,"Human","Homo sapiens","Brazil","genomic RNA",11200,0.933333333333333,">90%","South America","Brazil"
"1271","CHIKV/PNRCNG/LNSP_INMI1-2019","Chikungunya virus","MK935343","11434","-N/A-","03/20/2019",2019-03-20,"Human","Homo sapiens","Republic of the Congo","genomic RNA",11434,0.952833333333333,">90%","Africa","Western Africa"
"1272","DRC_2019_MAT001_AALB","Chikungunya virus","MT636919","11531","-N/A-","03/20/2019",2019-03-20,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1273","DRC_2019_MAT010_AALBF","Chikungunya virus","MT636917","11531","-N/A-","03/21/2019",2019-03-21,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1274","DRC_2019_MAT005_AALBM","Chikungunya virus","MT636920","11531","-N/A-","03/21/2019",2019-03-21,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1275","DRC_2019_MAT009_AALBF","Chikungunya virus","MT636921","11531","-N/A-","03/21/2019",2019-03-21,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1276","DRC_2019_MAT011_AALBF","Chikungunya virus","MT636922","11531","-N/A-","03/22/2019",2019-03-22,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1277","NA02","Chikungunya virus","MW260513","11182","-N/A-","03/23/2019",2019-03-23,"Human","Homo sapiens","Brazil","genomic RNA",11182,0.931833333333333,">90%","South America","Brazil"
"1278","NA01","Chikungunya virus","MW260512","11072","-N/A-","03/23/2019",2019-03-23,"Human","Homo sapiens","Brazil","genomic RNA",11072,0.922666666666667,">90%","South America","Brazil"
"1279","DRC_2019_KAS002_AALBM","Chikungunya virus","MT636914","11531","-N/A-","03/26/2019",2019-03-26,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1280","DRC_2019_KAS003_AALBF","Chikungunya virus","MT636915","10428","-N/A-","03/26/2019",2019-03-26,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",10428,0.869,"50-90%","Africa","Western Africa"
"1281","DRC_2019_KAS004_AALBF","Chikungunya virus","MT636916","11531","-N/A-","03/26/2019",2019-03-26,"Mosquito","Aedes albopictus","Democratic Republic of the Congo","genomic RNA",11531,0.960916666666667,">90%","Africa","Western Africa"
"1282","NA03","Chikungunya virus","MW260515","11013","-N/A-","03/27/2019",2019-03-27,"Human","Homo sapiens","Brazil","genomic RNA",11013,0.91775,">90%","South America","Brazil"
"1283","NA05","Chikungunya virus","MW260516","11019","-N/A-","03/28/2019",2019-03-28,"Human","Homo sapiens","Brazil","genomic RNA",11019,0.91825,">90%","South America","Brazil"
"1284","NA04","Chikungunya virus","MW260514","10983","-N/A-","03/28/2019",2019-03-28,"Human","Homo sapiens","Brazil","genomic RNA",10983,0.91525,">90%","South America","Brazil"
"1285","NA06","Chikungunya virus","MW260517","10998","-N/A-","03/29/2019",2019-03-29,"Human","Homo sapiens","Brazil","genomic RNA",10998,0.9165,">90%","South America","Brazil"
"1286","NA09","Chikungunya virus","MW260519","11210","-N/A-","03/30/2019",2019-03-30,"Human","Homo sapiens","Brazil","genomic RNA",11210,0.934166666666667,">90%","South America","Brazil"
"1287","NA07","Chikungunya virus","MW260518","11264","-N/A-","03/30/2019",2019-03-30,"Human","Homo sapiens","Brazil","genomic RNA",11264,0.938666666666667,">90%","South America","Brazil"
"1288","MLD19-01","Chikungunya virus","LC664141","11237","-N/A-","03/30/2019",2019-03-30,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1289","MLD19-09","Chikungunya virus","LC664143","11237","-N/A-","03/30/2019",2019-03-30,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1290","MLD19-06","Chikungunya virus","LC664142","11237","-N/A-","03/31/2019",2019-03-31,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1291","MLD19-22","Chikungunya virus","LC664145","11237","-N/A-","04/01/2019",2019-04-01,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1292","MLD19-40","Chikungunya virus","LC664149","11237","-N/A-","04/2019",2019-04-01,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1293","103","Chikungunya virus","MW507585","11148","-N/A-","04/2019",2019-04-01,"Human","Homo sapiens","Brazil","genomic RNA",11148,0.929,">90%","South America","Brazil"
"1294","102","Chikungunya virus","MW507586","11334","-N/A-","04/2019",2019-04-01,"Human","Homo sapiens","Brazil","genomic RNA",11334,0.9445,">90%","South America","Brazil"
"1295","101","Chikungunya virus","MW507587","11229","-N/A-","04/2019",2019-04-01,"Human","Homo sapiens","Brazil","genomic RNA",11229,0.93575,">90%","South America","Brazil"
"1296","MLD19-27","Chikungunya virus","LC664146","11237","-N/A-","04/03/2019",2019-04-03,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1297","MLD19-39","Chikungunya virus","LC664148","11237","-N/A-","04/04/2019",2019-04-04,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1298","MLD19-37","Chikungunya virus","LC664147","11237","-N/A-","04/07/2019",2019-04-07,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1299","MLD19-47","Chikungunya virus","LC664150","11237","-N/A-","04/10/2019",2019-04-10,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1300","BK1049","Chikungunya virus","MT495605","11662","-N/A-","04/14/2019",2019-04-14,"Human","Homo sapiens","Thailand","genomic RNA",11662,0.971833333333333,">90%","Asia","Southeastern Asia"
"1301","MLD19-53","Chikungunya virus","LC664151","11237","-N/A-","04/14/2019",2019-04-14,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1302","CHIKV-7 03096/2019","Chikungunya virus","MT933035","11199","-N/A-","04/17/2019",2019-04-17,"Human","Homo sapiens","Brazil","genomic RNA",11199,0.93325,">90%","South America","Brazil"
"1303","CHIKV-8 03139/2019","Chikungunya virus","MT933036","11200","-N/A-","04/17/2019",2019-04-17,"Human","Homo sapiens","Brazil","genomic RNA",11200,0.933333333333333,">90%","South America","Brazil"
"1304","CHIKV-9 03153/2019","Chikungunya virus","MT933037","11191","-N/A-","04/18/2019",2019-04-18,"Human","Homo sapiens","Brazil","genomic RNA",11191,0.932583333333333,">90%","South America","Brazil"
"1305","CHIKV-10 03283/2019","Chikungunya virus","MT933038","11199","-N/A-","04/22/2019",2019-04-22,"Human","Homo sapiens","Brazil","genomic RNA",11199,0.93325,">90%","South America","Brazil"
"1306","MLD19-20","Chikungunya virus","LC664144","11237","-N/A-","04/24/2019",2019-04-24,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1307","MLD19-70","Chikungunya virus","LC664153","11237","-N/A-","05/2019",2019-05-01,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1308","MLD19-71","Chikungunya virus","LC664154","11237","-N/A-","05/2019",2019-05-01,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1309","122","Chikungunya virus","MW507584","11420","-N/A-","05/2019",2019-05-01,"Human","Homo sapiens","Brazil","genomic RNA",11420,0.951666666666667,">90%","South America","Brazil"
"1310","CHIKV-11 03802/2019","Chikungunya virus","MT933039","11210","-N/A-","05/06/2019",2019-05-06,"Human","Homo sapiens","Brazil","genomic RNA",11210,0.934166666666667,">90%","South America","Brazil"
"1311","CHIKV-12 03804/2019","Chikungunya virus","MT933040","11193","-N/A-","05/06/2019",2019-05-06,"Human","Homo sapiens","Brazil","genomic RNA",11193,0.93275,">90%","South America","Brazil"
"1312","19CHKYN01LY","Chikungunya virus","MN402883","11793","-N/A-","05/07/2019",2019-05-07,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1313","19CHKYN02LLZ","Chikungunya virus","MN402885","11793","-N/A-","05/08/2019",2019-05-08,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1314","CHIKV-13 03909/2019","Chikungunya virus","MT933041","11201","-N/A-","05/08/2019",2019-05-08,"Human","Homo sapiens","Brazil","genomic RNA",11201,0.933416666666667,">90%","South America","Brazil"
"1315","CHIKV-14 04051/2019","Chikungunya virus","MT933042","11014","-N/A-","05/11/2019",2019-05-11,"Human","Homo sapiens","Brazil","genomic RNA",11014,0.917833333333333,">90%","South America","Brazil"
"1316","MLD19-68","Chikungunya virus","LC664152","11237","-N/A-","05/19/2019",2019-05-19,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1317","CHIKV-23 08288/2019","Chikungunya virus","MT933051","11193","-N/A-","05/28/2019",2019-05-28,"Human","Homo sapiens","Brazil","genomic RNA",11193,0.93275,">90%","South America","Brazil"
"1318","2019","Chikungunya virus","MW042255","11826","-N/A-","06/2019",2019-06-01,"Human","Homo sapiens","India","genomic RNA",11826,0.9855,">90%","Asia","India+"
"1319","CHIKV-15 05334/2019","Chikungunya virus","MT933043","11011","-N/A-","06/07/2019",2019-06-07,"Human","Homo sapiens","Brazil","genomic RNA",11011,0.917583333333333,">90%","South America","Brazil"
"1320","CHIKV-16 05573/2019","Chikungunya virus","MT933044","11191","-N/A-","06/13/2019",2019-06-13,"Human","Homo sapiens","Brazil","genomic RNA",11191,0.932583333333333,">90%","South America","Brazil"
"1321","MLD19-72","Chikungunya virus","LC664155","11237","-N/A-","06/18/2019",2019-06-18,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1322","CHIKV-17 05919/2019","Chikungunya virus","MT933045","11198","-N/A-","06/19/2019",2019-06-19,"Human","Homo sapiens","Brazil","genomic RNA",11198,0.933166666666667,">90%","South America","Brazil"
"1323","19CHKYN03ZJF","Chikungunya virus","MN402884","11793","-N/A-","06/28/2019",2019-06-28,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1324","CHIKV-18 06240/2019","Chikungunya virus","MT933046","11184","-N/A-","07/01/2019",2019-07-01,"Human","Homo sapiens","Brazil","genomic RNA",11184,0.932,">90%","South America","Brazil"
"1325","19CHKYN04CZT","Chikungunya virus","MN402886","11793","-N/A-","07/02/2019",2019-07-02,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1326","CHIKV-19 06467/2019","Chikungunya virus","MT933047","11199","-N/A-","07/02/2019",2019-07-02,"Human","Homo sapiens","Brazil","genomic RNA",11199,0.93325,">90%","South America","Brazil"
"1327","CHIKV-21 07570/2019","Chikungunya virus","MT933049","11200","-N/A-","07/07/2019",2019-07-07,"Human","Homo sapiens","Brazil","genomic RNA",11200,0.933333333333333,">90%","South America","Brazil"
"1328","347KF02F003BA1","Chikungunya virus","MN974212","11811","-N/A-","07/08/2019",2019-07-08,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1329","SV190079","Chikungunya virus","MN974205","11811","-N/A-","07/24/2019",2019-07-24,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1330","19CHKYN05LHL","Chikungunya virus","MN402889","11793","-N/A-","07/25/2019",2019-07-25,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1331","19CHKYN06HYG","Chikungunya virus","MN402890","11793","-N/A-","07/26/2019",2019-07-26,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1332","19CHKYN07LHX","Chikungunya virus","MN402891","11793","-N/A-","07/30/2019",2019-07-30,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1333","CHIKV-20 07297/2019","Chikungunya virus","MT933048","10713","-N/A-","07/31/2019",2019-07-31,"Human","Homo sapiens","Brazil","genomic RNA",10713,0.89275,"50-90%","South America","Brazil"
"1334","19CHKYN08May","Chikungunya virus","MN402887","11793","-N/A-","08/01/2019",2019-08-01,"Human","Homo sapiens","Myanmar","genomic RNA",11793,0.98275,">90%","Asia","Southeastern Asia"
"1335","19CHKYN09PYINI","Chikungunya virus","MN402888","11793","-N/A-","08/01/2019",2019-08-01,"Human","Homo sapiens","Myanmar","genomic RNA",11793,0.98275,">90%","Asia","Southeastern Asia"
"1336","19CHKYN10ZZN","Chikungunya virus","MN402892","11793","-N/A-","08/02/2019",2019-08-02,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"1337","MLD19-77","Chikungunya virus","LC664156","11237","-N/A-","08/02/2019",2019-08-02,"Human","Homo sapiens","Maldives","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"1338","ZY1908","Chikungunya virus","MN756625","11511","-N/A-","08/08/2019",2019-08-08,"Human","Homo sapiens","China","genomic RNA",11511,0.95925,">90%","Asia","China+"
"1339","BK1156","Chikungunya virus","MT495606","11712","-N/A-","08/12/2019",2019-08-12,"Human","Homo sapiens","Thailand","genomic RNA",11712,0.976,">90%","Asia","Southeastern Asia"
"1340","CHIKV-22 07867/2019","Chikungunya virus","MT933050","11199","-N/A-","08/14/2019",2019-08-14,"Human","Homo sapiens","Brazil","genomic RNA",11199,0.93325,">90%","South America","Brazil"
"1341","SV190103","Chikungunya virus","MN974204","11811","-N/A-","08/15/2019",2019-08-15,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1342","19KDA0889","Chikungunya virus","MN974210","11811","-N/A-","08/26/2019",2019-08-26,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1343","BK1278","Chikungunya virus","MT495607","11657","-N/A-","08/28/2019",2019-08-28,"Human","Homo sapiens","Thailand","genomic RNA",11657,0.971416666666667,">90%","Asia","Southeastern Asia"
"1344","SK2671_19","Chikungunya virus","MN974206","11811","-N/A-","08/30/2019",2019-08-30,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1345","SK2690_19","Chikungunya virus","MN974224","11376","-N/A-","09/06/2019",2019-09-06,"Human","Homo sapiens","Thailand","genomic RNA",11376,0.948,">90%","Asia","Southeastern Asia"
"1346","SV190128","Chikungunya virus","MN974203","11811","-N/A-","09/11/2019",2019-09-11,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"1347","19RL05(2019)","Chikungunya virus","MW110472","11789","-N/A-","09/28/2019",2019-09-28,"Human","Homo sapiens","China","genomic RNA",11789,0.982416666666667,">90%","Asia","China+"
"1348","THBKK19-04","Chikungunya virus","LC580256","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1349","THBKK19-06","Chikungunya virus","LC580257","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1350","THBKK19-08","Chikungunya virus","LC580258","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1351","THBKK19-09","Chikungunya virus","LC580259","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1352","THBKK19-11","Chikungunya virus","LC580260","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1353","THBKK19-12","Chikungunya virus","LC580261","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1354","THBKK19-13","Chikungunya virus","LC580262","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1355","THBKK19-14","Chikungunya virus","LC580263","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"1356","THBKK19-15","Chikungunya virus","LC580264","11237","-N/A-","10/2019",2019-10-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
